Away Team,Home Team,Winner
Cal St. Fullerton,Monmouth,Cal St. Fullerton
UC Davis,UT Arlington,UT Arlington
Central Arkansas,Troy,Troy
UCF,Western Kentucky,UCF
Central Michigan,San Jose St.,Central Michigan
Chattanooga,Jacksonville,Jacksonville
Coastal Carolina,Northern Kentucky,Northern Kentucky
College of Charleston,Oklahoma St.,Oklahoma St.
Columbia,Fordham,Fordham
Florida A&M,Central Connecticut,Central Connecticut
Incarnate Word,Florida Atlantic,Florida Atlantic
Indiana,Arkansas,Arkansas
LIU Brooklyn,San Francisco,San Francisco
Miami OH,Pepperdine,Pepperdine
Minnesota,Texas A&M,Minnesota
Montana,Georgia Southern,Georgia Southern
Mount St. Mary's,Maryland,Maryland
UNC Asheville,Manhattan,Manhattan
North Dakota St.,Towson,North Dakota St.
Northeastern,Davidson,Davidson
Northern Arizona,Hawaii,Hawaii
Ohio,Loyola Marymount,Loyola Marymount
Oregon St.,Missouri,Missouri
Sacred Heart,UMass Lowell,UMass Lowell
Saint Joseph's,West Virginia,West Virginia
Samford,Cleveland St.,Samford
Santa Clara,Washington,Washington
Siena,Holy Cross,Holy Cross
South Carolina,George Washington,South Carolina
South Carolina St.,Ohio St.,Ohio St.
South Florida,Georgetown,Georgetown
Southern Utah,Seattle,Southern Utah
St. Francis NY,Lafayette,St. Francis NY
Texas Southern,Evansville,Evansville
Wake Forest,Valparaiso,Wake Forest
Weber St.,Cal St. Bakersfield,Cal St. Bakersfield
Wofford,Oklahoma,Oklahoma
Youngstown St.,FIU,FIU
Duke,San Diego St.,Duke
Gonzaga,Illinois,Gonzaga
Cal Baptist,Nevada,Nevada
St. Francis PA,North Carolina,North Carolina
Auburn,Xavier,Auburn
Missouri,Kansas St.,Kansas St.
Canisius,Florida St.,Florida St.
Mississippi St.,Arizona St.,Arizona St.
Akron,Clemson,Clemson
Presbyterian,UCLA,UCLA
Arizona,Iowa St.,Arizona
Little Rock,Tulsa,Tulsa
Arkansas Pine Bluff,Massachusetts,Massachusetts
Binghamton,Colgate,Colgate
Boise St.,Creighton,Creighton
Bowling Green,Hampton,Bowling Green
Cal Poly,Washington St.,Washington St.
Chicago St.,East Tennessee St.,East Tennessee St.
Colorado St.,Louisiana Lafayette,Louisiana Lafayette
Coppin St.,Rider,Rider
Eastern Michigan,Rutgers,Rutgers
Florida Gulf Coast,Toledo,Toledo
Georgia,Illinois St.,Georgia
Hartford,Utah Valley,Utah Valley
High Point,Air Force,High Point
Howard,Southern Illinois,Southern Illinois
Jackson St.,Sam Houston St.,Sam Houston St.
Kennesaw St.,Eastern Kentucky,Eastern Kentucky
Liberty,Vanderbilt,Vanderbilt
Long Beach St.,Iona,Long Beach St.
Longwood,Charlotte,Charlotte
Loyola Chicago,Richmond,Loyola Chicago
Loyola MD,Detroit,Detroit
UMBC,South Dakota,South Dakota
Missouri St.,Nebraska,Nebraska
North Carolina A&T,Marshall,Marshall
Northwestern St.,Houston,Houston
Old Dominion,Northern Iowa,Northern Iowa
Oregon St.,Penn,Oregon St.
Prairie View A&M,UNC Greensboro,UNC Greensboro
Robert Morris,Stetson,Robert Morris
Saint Mary's,Utah St.,Utah St.
South Dakota St.,Tulane,Tulane
Southeast Missouri St.,South Alabama,South Alabama
USC,Texas Tech,Texas Tech
St. Bonaventure,Georgia St.,Georgia St.
St. John's,California,St. John's
Temple,VCU,VCU
UT Rio Grande Valley,East Carolina,East Carolina
UTSA,UC Irvine,UC Irvine
