,Away Team,Home Team,Winner,Away Win,ADJOE_diff,ADJDE_diff,BARTHAG_diff,EFG_O_diff,EFG_D_diff,TOR_diff,TORD_diff,ORB_diff,DRB_diff,FTR_diff,FTRD_diff,2P_O_diff,2P_D_diff,3P_O_diff,3P_D_diff,ADJ_T_diff,WAB_diff
3451,Hartford,Stony Brook,Stony Brook,N,9.299999999999997,11.100000000000009,-0.04189999999999999,6.100000000000001,6.600000000000001,-2.8999999999999986,0.6999999999999993,-7.900000000000002,4.899999999999999,-2.299999999999997,-6.300000000000004,3.799999999999997,6.600000000000001,5.600000000000001,4.299999999999997,-2.4000000000000057,-5.3999999999999995
3452,Hofstra,Northeastern,Northeastern,N,5.6000000000000085,6.099999999999994,-0.017900000000000027,-0.6000000000000014,0.0,-2.8000000000000007,1.6000000000000014,4.100000000000001,5.299999999999997,3.4000000000000057,-2.8000000000000007,-1.2999999999999972,-1.5,0.5,1.5999999999999943,1.5,0.8999999999999999
3453,Holy Cross,American,American,N,-2.1000000000000085,3.0,-0.13369999999999999,-0.5,5.599999999999994,-2.599999999999998,4.400000000000002,-5.5,5.5,-12.699999999999996,-7.9999999999999964,-3.1000000000000014,2.200000000000003,2.8999999999999986,8.099999999999998,-2.9000000000000057,0.0
3454,Incarnate Word,New Orleans,New Orleans,N,1.0,14.0,-0.1756,3.8999999999999986,9.299999999999997,2.3000000000000007,-2.8000000000000007,-9.699999999999996,-1.5,-1.2000000000000028,-1.2999999999999972,4.199999999999996,10.700000000000003,1.8000000000000043,4.899999999999999,-3.299999999999997,-11.5
3455,Fort Wayne,Oral Roberts,Fort Wayne,Y,2.9000000000000057,-5.5,0.20700000000000002,3.5999999999999943,-0.10000000000000142,-3.599999999999998,2.6000000000000014,-6.699999999999999,1.5,0.7999999999999972,-7.700000000000003,5.099999999999994,0.7000000000000028,0.8000000000000043,-1.0,4.5,4.800000000000001
3456,Jacksonville,Florida Gulf Coast,Florida Gulf Coast,N,-2.9000000000000057,1.5,-0.1094,-3.0,0.0,-1.3000000000000007,-1.0,2.6999999999999993,-3.400000000000002,-1.3999999999999986,1.4000000000000021,0.29999999999999716,0.3999999999999986,-5.699999999999999,0.20000000000000284,2.700000000000003,-3.200000000000001
3457,James Madison,UNC Wilmington,James Madison,Y,-3.799999999999997,-2.9000000000000057,-0.024699999999999972,-0.29999999999999716,-3.1000000000000014,0.3000000000000007,1.8999999999999986,-1.5999999999999979,2.6999999999999993,0.6000000000000014,2.1000000000000014,-1.7999999999999972,-1.7999999999999972,1.6000000000000014,-3.0999999999999943,-4.199999999999989,2.5999999999999996
3458,Kansas St.,Oklahoma St.,Kansas St.,Y,-1.0999999999999943,-12.799999999999997,0.19740000000000002,-0.7000000000000028,-2.0999999999999943,-0.6000000000000014,5.199999999999999,1.9000000000000021,-3.6999999999999993,0.0,-0.8000000000000007,2.8999999999999986,0.7000000000000028,-3.8000000000000043,-4.0,-2.5999999999999943,10.6
3459,Kennesaw St.,Stetson,Stetson,N,-4.799999999999997,-3.6999999999999886,-0.0228,-4.600000000000001,-0.7999999999999972,1.5,-0.8999999999999986,1.3000000000000007,-1.1999999999999993,5.100000000000001,-5.300000000000001,-5.899999999999999,-0.5,0.3999999999999986,-0.7000000000000028,-1.1000000000000085,-0.9000000000000021
3460,Kent St.,Ball St.,Kent St.,Y,8.5,8.299999999999997,-0.0042999999999999705,-2.1999999999999957,5.400000000000006,-3.8000000000000007,1.1000000000000014,5.700000000000003,2.0,-5.800000000000001,5.5,-4.399999999999999,6.400000000000006,1.3999999999999986,2.6000000000000014,-2.6999999999999886,5.8999999999999995
3461,La Salle,Richmond,La Salle,Y,-8.299999999999997,-5.099999999999994,-0.08860000000000001,-6.899999999999999,-1.8000000000000043,4.899999999999999,1.3000000000000007,9.799999999999997,-1.0,-2.1999999999999993,12.599999999999998,-10.200000000000003,-2.799999999999997,-1.6000000000000014,-0.19999999999999574,3.3999999999999915,0.1999999999999993
3462,Lamar,McNeese St.,Lamar,Y,6.700000000000003,-6.599999999999994,0.2599,-0.5,-2.0,-1.3000000000000007,2.1000000000000014,6.5000000000000036,-4.5,3.5,6.400000000000002,-2.5,-1.5,2.6000000000000014,-1.8999999999999986,2.200000000000003,8.399999999999999
3463,Lehigh,Army,Lehigh,Y,11.5,6.1000000000000085,0.1508,6.799999999999997,-3.0999999999999943,2.0,-3.0999999999999996,1.8999999999999986,4.600000000000001,10.599999999999998,2.1000000000000014,0.8999999999999986,-3.5,10.599999999999998,-1.6000000000000014,1.7000000000000028,8.5
3464,LIU Brooklyn,Wagner,Wagner,N,4.5,-1.5,0.12399999999999997,6.700000000000003,-2.8999999999999986,-0.6999999999999993,-1.3000000000000007,-5.099999999999998,0.6000000000000014,0.6000000000000014,-11.100000000000001,7.199999999999996,-2.1999999999999957,4.0,-2.4000000000000057,7.200000000000003,0.5
3465,Longwood,Campbell,Campbell,N,-8.400000000000006,-1.8999999999999915,-0.16750000000000004,-0.3999999999999986,-4.100000000000001,5.599999999999998,-2.1000000000000014,0.8000000000000007,-3.6999999999999993,2.400000000000002,-2.299999999999997,-4.0,-3.1000000000000014,2.200000000000003,-3.5999999999999943,1.4000000000000057,-5.6
3466,Louisiana Lafayette,Coastal Carolina,Coastal Carolina,N,-0.10000000000000853,2.299999999999997,-0.06470000000000004,-0.8999999999999986,2.200000000000003,-2.200000000000003,2.0,-3.6000000000000014,3.299999999999997,-4.299999999999997,-5.399999999999999,1.1000000000000014,-0.8000000000000043,-2.799999999999997,4.300000000000004,2.5,3.4000000000000004
