,Away Team,Home Team,Winner,Away Win,ADJOE_diff,ADJDE_diff,BARTHAG_diff,EFG_O_diff,EFG_D_diff,TOR_diff,TORD_diff,ORB_diff,DRB_diff,FTR_diff,FTRD_diff,2P_O_diff,2P_D_diff,3P_O_diff,3P_D_diff,ADJ_T_diff,WAB_diff
780,Canisius,Memphis,Memphis,N,0.4364471669218988,0.6455223880597016,0.20988588728458313,0.4574132492113564,0.5875912408759123,0.45273631840796025,0.45789473684210524,0.32432432432432434,0.5604838709677419,0.3944954128440367,0.4727272727272727,0.44919786096256675,0.5681159420289854,0.5098039215686273,0.6465116279069767,0.29830508474576267,0.35449735449735453
781,College of Charleston,UAB,College of Charleston,Y,0.5528330781010717,0.328358208955224,0.5671867722403353,0.5930599369085174,0.5036496350364964,0.45273631840796014,0.5631578947368423,0.3587223587223587,0.5080645161290323,0.5688073394495412,0.38909090909090904,0.5962566844919786,0.6028985507246376,0.5450980392156863,0.441860465116279,0.5322033898305081,0.6119929453262787
782,Coppin St.,Charleston Southern,Charleston Southern,N,0.35068912710566613,0.5261194029850749,0.2864462040055892,0.33753943217665616,0.3795620437956205,0.7761194029850746,0.26842105263157884,0.4054054054054054,0.5685483870967741,0.7752293577981652,0.5272727272727273,0.44385026737967914,0.391304347826087,0.2705882352941177,0.4976744186046513,0.5593220338983051,0.38095238095238093
783,Dayton,Oklahoma,Oklahoma,N,0.5528330781010717,0.4738805970149257,0.47589659990684674,0.6529968454258676,0.4197080291970801,0.6019900497512438,0.4736842105263158,0.5085995085995085,0.504032258064516,0.5481651376146789,0.49636363636363634,0.7245989304812832,0.4956521739130435,0.4470588235294118,0.4139534883720933,0.3762711864406778,0.4514991181657848
784,Denver,Seattle,Seattle,N,0.5176110260336905,0.5690298507462689,0.35794131346064273,0.5078864353312302,0.7627737226277371,0.6218905472636815,0.4947368421052631,0.41031941031941027,0.3749999999999999,0.34403669724770647,0.2981818181818182,0.5080213903743314,0.6376811594202898,0.4784313725490198,0.8511627906976742,0.5220338983050845,0.4091710758377425
785,Eastern Illinois,Gardner Webb,Eastern Illinois,Y,0.4425727411944869,0.4402985074626867,0.37482533768048437,0.3091482649842272,0.5182481751824817,0.5970149253731343,0.5105263157894736,0.6486486486486487,0.48790322580645157,0.30963302752293587,0.5836363636363636,0.2780748663101604,0.4376811594202897,0.44313725490196076,0.7162790697674417,0.5050847457627116,0.4109347442680776
786,Elon,UC Riverside,UC Riverside,N,0.578866768759571,0.33208955223880615,0.5682929669306008,0.4984227129337538,0.3759124087591241,0.4179104477611939,0.45789473684210524,0.41523341523341517,0.592741935483871,0.5665137614678899,0.4109090909090909,0.5962566844919786,0.37681159420289834,0.3686274509803922,0.49767441860465095,0.6779661016949152,0.5696649029982362
787,Fairfield,Longwood,Longwood,N,0.5038284839203675,0.3320895522388059,0.5121099208197485,0.41955835962145116,0.4817518248175182,0.527363184079602,0.7105263157894737,0.5208845208845209,0.6693548387096774,0.30733944954128434,0.6,0.42780748663101603,0.46086956521739125,0.46274509803921565,0.6046511627906976,0.5457627118644066,0.4514991181657848
788,George Mason,Cincinnati,Cincinnati,N,0.39816232771822346,0.5541044776119406,0.2827200745225896,0.5078864353312302,0.46350364963503643,0.6567164179104477,0.3578947368421053,0.27518427518427524,0.4354838709677419,0.4518348623853211,0.48545454545454547,0.5401069518716576,0.6289855072463767,0.44313725490196076,0.30697674418604654,0.6610169491525424,0.31393298059964725
789,Grambling St.,Niagara,Grambling St.,Y,0.4471669218989279,0.16604477611940305,0.5664881229622729,0.4984227129337538,0.10218978102189774,0.7512437810945274,0.5947368421052632,0.44963144963144963,0.6491935483870968,0.7522935779816514,0.7927272727272727,0.4465240641711229,0.24927536231884062,0.6705882352941178,0.12558139534883733,0.5050847457627121,0.6067019400352733
790,Grand Canyon,Utah,Utah,N,0.42725880551301654,0.2686567164179105,0.497321844434094,0.3596214511041008,0.31751824817518237,0.4179104477611941,0.7421052631578948,0.4324324324324324,0.46370967741935476,0.4885321100917432,0.43272727272727274,0.4064171122994651,0.3449275362318838,0.3490196078431373,0.4511627906976745,0.576271186440678,0.5114638447971781
791,Houston Baptist,Wake Forest,Houston Baptist,Y,0.5237366003062786,0.5317164179104477,0.38006520726595244,0.6246056782334386,0.4927007299270074,0.5174129353233832,0.7157894736842104,0.4791154791154791,0.6129032258064516,0.6399082568807338,0.49272727272727274,0.601604278074866,0.4289855072463765,0.6039215686274509,0.6976744186046511,0.7288135593220334,0.43738977072310403
792,Howard,Little Rock,Little Rock,N,0.5941807044410411,0.5503731343283581,0.45156031672100605,0.2870662460567823,0.386861313868613,0.22388059701492535,0.5210526315789474,0.6019656019656019,0.7701612903225806,0.3302752293577981,0.4381818181818182,0.21122994652406413,0.4144927536231881,0.5490196078431371,0.47906976744186064,0.5389830508474573,0.5731922398589064
793,James Madison,Oakland,Oakland,N,0.4395099540581928,0.42350746268656714,0.3833255705635771,0.3438485804416405,0.4014598540145984,0.5323383084577116,0.45789473684210524,0.5896805896805897,0.39516129032258057,0.47706422018348615,0.5927272727272728,0.3342245989304813,0.42318840579710126,0.45098039215686286,0.4930232558139535,0.40338983050847477,0.4691358024691358
794,Kent St.,Vanderbilt,Kent St.,Y,0.6768759571209799,0.47574626865671665,0.5681765253842571,0.5047318611987381,0.5218978102189782,0.308457711442786,0.636842105263158,0.5847665847665848,0.5725806451612904,0.32798165137614677,0.530909090909091,0.43850267379679136,0.5913043478260869,0.6,0.46046511627907,0.5186440677966101,0.6490299823633157
795,La Salle,Northwestern,Northwestern,N,0.5206738131699845,0.5466417910447763,0.34583139264089424,0.4921135646687697,0.5729927007299267,0.716417910447761,0.6000000000000001,0.597051597051597,0.6249999999999999,0.4908256880733945,0.6163636363636363,0.4331550802139036,0.5333333333333333,0.5725490196078432,0.6976744186046513,0.630508474576271,0.4021164021164021
796,Lamar,UT Rio Grande Valley,UT Rio Grande Valley,N,0.6202143950995403,0.4794776119402985,0.511003726129483,0.5678233438485804,0.47080291970802923,0.6119402985074627,0.26315789473684215,0.7199017199017199,0.31048387096774177,0.5206422018348622,0.3418181818181819,0.5374331550802137,0.498550724637681,0.592156862745098,0.5069767441860468,0.4508474576271186,0.5220458553791887
797,Louisiana Monroe,Tennessee Tech,Tennessee Tech,N,0.8943338437978556,0.45149253731343286,0.7802165812761994,0.722397476340694,0.470802919708029,0.1840796019900497,0.4052631578947368,0.457002457002457,0.3629032258064516,0.518348623853211,0.3963636363636363,0.6149732620320856,0.48695652173913034,0.7411764705882353,0.5302325581395347,0.4474576271186437,0.6948853615520282
798,Louisville,Marquette,Marquette,N,0.562021439509954,0.31343283582089543,0.5553097345132743,0.391167192429022,0.4197080291970804,0.4179104477611941,0.4736842105263158,0.47420147420147424,0.5120967741935483,0.525229357798165,0.4127272727272728,0.4786096256684491,0.4666666666666665,0.3215686274509806,0.4511627906976745,0.45423728813559294,0.5291005291005291
799,Marshall,Maryland,Maryland,N,0.45022970903522197,0.6026119402985076,0.2925011644154634,0.48895899053627756,0.6277372262773723,0.3383084577114429,0.8526315789473684,0.20638820638820632,0.8225806451612901,0.4770642201834863,0.589090909090909,0.5026737967914437,0.634782608695652,0.4745098039215688,0.6372093023255815,0.7898305084745763,0.3492063492063492
800,Miami FL,Fresno St.,Miami FL,Y,0.578866768759571,0.3600746268656718,0.5586283185840708,0.3564668769716087,0.5328467153284671,0.4477611940298507,0.5157894736842106,0.4447174447174447,0.6975806451612904,0.5435779816513762,0.26,0.44919786096256675,0.48405797101449266,0.3098039215686272,0.6651162790697674,0.4881355932203387,0.48148148148148145
801,Middle Tennessee,Stanford,Stanford,N,0.47320061255742696,0.4813432835820897,0.3520610153702841,0.33123028391167186,0.5109489051094889,0.6119402985074627,0.5157894736842106,0.5405405405405405,0.5120967741935484,0.38073394495412843,0.5072727272727273,0.26203208556149726,0.5594202898550724,0.5254901960784313,0.4511627906976745,0.4474576271186437,0.40388007054673714
802,Nicholls St.,North Carolina Central,Nicholls St.,Y,0.5482388973966307,0.4029850746268658,0.5080926874708895,0.4794952681388013,0.4452554744525547,0.23880597014925375,0.5315789473684212,0.203931203931204,0.7903225806451614,0.26376146788990823,0.5672727272727273,0.30481283422459887,0.5159420289855072,0.7176470588235294,0.40930232558139534,0.6474576271186439,0.5061728395061729
803,UNC Greensboro,Delaware,UNC Greensboro,Y,0.5589586523736598,0.10447761194029864,0.753493246390312,0.4069400630914828,0.33941605839416056,0.5074626865671643,0.8842105263157893,0.6584766584766584,0.5564516129032258,0.5160550458715597,0.5490909090909091,0.47593582887700525,0.44637681159420284,0.34509803921568627,0.31162790697674425,0.6610169491525424,0.7654320987654321
804,Northern Illinois,Oral Roberts,Northern Illinois,Y,0.5895865237366001,0.22014925373134347,0.6851420586865393,0.4858044164037854,0.32481751824817495,0.3532338308457712,0.6789473684210525,0.41769041769041765,0.504032258064516,0.5389908256880733,0.6,0.48663101604278064,0.40289855072463765,0.5058823529411766,0.33488372093023266,0.4745762711864407,0.6313932980599647
805,Northern Iowa,Old Dominion,Old Dominion,N,0.560490045941807,0.4850746268656718,0.43822775966464833,0.5268138801261828,0.6058394160583941,0.517412935323383,0.4842105263157894,0.26289926289926285,0.4516129032258065,0.5,0.48363636363636364,0.5187165775401069,0.6579710144927535,0.5058823529411766,0.5534883720930235,0.508474576271186,0.37389770723104054
806,Portland St.,UC Santa Barbara,UC Santa Barbara,N,0.5114854517611023,0.46828358208955234,0.42250815090824406,0.3659305993690852,0.5510948905109488,0.6417910447761193,0.6157894736842104,0.6191646191646192,0.6129032258064516,0.47935779816513757,0.6818181818181818,0.4331550802139036,0.5507246376811594,0.3058823529411766,0.6093023255813952,0.6745762711864405,0.43033509700176364
